"sgRNA"	"Gene"	"mito_mock_1"	"mito_mock_2"	"mito_rcVSV_1"	"mito_rcVSV_2"	"mito_hku5_1"	"mito_hku5_2"	"mito_sars2_1"	"mito_sars2_2"	"mito_mers_1"	"mito_mers_2"	"mito_t1015n_1"	"mito_t1015n_2"	"mito_emcv_1"	"mito_emcv_2"	"mito_iav_1"	"mito_iav_2"
"CTRL_176"	"CTRL"	2311	3559	972	2968	2402	3113	2882	2285	3134	2472	2598	2441	7617	2496	3351	2341
"CTRL_176.1"	"CTRL"	1245	1284	373	896	1356	973	1221	1397	1546	1206	1399	1811	6767	2190	609	317
"CTRL_176.2"	"CTRL"	3349	3748	1206	3833	3188	3724	3295	3721	3438	1757	2829	1587	5131	2995	2676	1270
"CTRL_176.3"	"CTRL"	1347	1792	901	3381	1750	2311	2364	2772	2300	1092	1637	1595	1037	1624	1605	945
"CTRL_177"	"CTRL"	1806	2054	700	2132	1082	2099	1827	1830	2878	1400	1704	1961	4561	2371	3153	3218
"CTRL_177.1"	"CTRL"	1015	1173	294	1094	835	1484	1161	1318	1221	1651	1044	1044	1473	775	770	2369
"CTRL_177.2"	"CTRL"	1788	2472	920	2982	2586	2421	1537	2537	2769	899	2291	2810	5422	839	5197	3135
"CTRL_177.3"	"CTRL"	2085	2732	1356	3653	2541	3507	2361	2832	2463	1391	2028	2011	5635	1427	1860	2043
"CTRL_185"	"CTRL"	1748	2088	704	2165	1315	1880	1977	1692	1399	1009	2274	2163	6499	1672	1445	2143
"CTRL_185.1"	"CTRL"	2094	2724	1017	3672	2268	2911	2965	3180	984	861	1390	1107	6609	2944	2320	623
"CTRL_185.2"	"CTRL"	1029	1220	585	2225	1346	1395	1281	1294	2434	1327	687	2262	6474	1199	1841	1494
"CTRL_185.3"	"CTRL"	2005	2463	708	2141	1387	2161	1318	1234	3185	1103	2351	2672	5283	1450	3133	4747
"CTRL_198"	"CTRL"	2078	2773	1083	2832	2589	2874	3910	2505	1895	871	2921	1095	3826	1319	989	367
"CTRL_198.1"	"CTRL"	3400	4437	2829	7701	6273	6270	5533	6850	5758	3596	5109	3190	3588	2759	2459	1748
"CTRL_198.2"	"CTRL"	1511	2016	878	3089	1764	2003	1949	2131	2600	1661	1115	2045	5338	2428	4314	1485
"CTRL_198.3"	"CTRL"	3131	3889	1664	6395	4392	5237	3807	4955	5955	2662	5739	5003	4371	1575	1947	4427
"CTRL_207"	"CTRL"	1941	1788	987	2992	2331	3470	2799	3168	2789	1630	1483	2464	5305	1720	1453	1572
"CTRL_207.1"	"CTRL"	1574	2183	779	2714	1730	3028	1803	2296	1253	527	1012	1273	824	1995	4028	769
"CTRL_207.2"	"CTRL"	2530	3165	809	2749	2546	3212	1699	2440	2742	1274	2283	2084	4718	3200	3190	1958
"CTRL_207.3"	"CTRL"	1676	2141	1109	3184	2017	3031	2305	3280	2517	1147	1768	1372	1991	837	829	68
"CTRL_252"	"CTRL"	3681	4584	3253	8479	5489	6807	5512	5822	4341	2317	4112	2994	5739	1638	1976	4699
